Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
112_2020,2020-05-08,0.5688640666033605,10.558213087059395,0.23774312168696943,0.30311096862509457,0.17753786230758073,0.35124930937877163,33.645717255660095,0.28897799999999996,0.6034780555099779,0.6099476129747667,-0.005581086029573201,-0.06284153005464481,0.36212212167129765,0.38214800000000004,0.12366209000000002,-0.244719595,146.87557669344395,168.60913359892731,115.30644313034239,192.98224739765467,112.90380621341257,104.08231059705781,470.5,769.5,754.0,2744.0,3112.0,1916.5,,,,,,,
112_2020,2020-05-13,0.5425772676770164,11.167384625722349,0.23196486631078045,0.3104414764959513,0.14008752862430995,0.3421757282575082,32.67706259027133,0.279804,0.615105681354944,0.6063337784698117,0.008274312942333465,-0.09494821010527536,0.3552332647699252,0.40497029500000004,0.11949675500000002,-0.270978915,149.7003957550367,168.0693208572819,116.7660844607347,188.2509756555342,114.16342578766324,105.78360828233969,523.0,806.5,829.5,2797.5,3384.5,2110.0,,,,,,,
112_2020,2020-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-06-22,0.8760342624904611,3.9553050782774046,0.42713028801340114,0.2974201474986765,0.7048242493720182,0.6363564757633081,60.02601966763784,0.641958,0.5141385226370134,0.7343140254450296,-0.0723179763269805,0.39731626433038914,0.7107889609171641,0.37573878000000005,0.3034753800000001,-0.083609345,131.07240615744928,178.9361108771579,75.93649214808721,224.32891341081606,73.53277583451671,67.25206464004174,224.5,609.5,291.0,4404.0,1899.5,762.5,,,,,,,
112_2020,2020-06-27,0.8388003317309229,5.041839365592917,0.4036273407275925,0.2733914674498901,0.6836137185465889,0.607294564128529,57.29070918319638,0.6108959999999999,0.47223831798781113,0.6691618890445782,-0.07087899277220797,0.3866857232320122,0.6620988338736842,0.37792207000000005,0.28734978,-0.08383198,126.88223272533051,172.67033521818914,77.69076173349083,222.63705688040318,75.5632075833467,69.00145742773518,236.0,680.0,376.0,4289.0,1897.0,806.0,,,,,,,
112_2020,2020-07-02,0.8732108856325774,4.138486803024776,0.440369407677696,0.2959511243498457,0.7282035765341472,0.6626093132684355,62.475872425075885,0.699138,0.48099756659108683,0.7134670794306944,-0.07414353474171725,0.42374841115884565,0.7449188243841384,0.404177625,0.33084266000000007,-0.07716837,126.18833366721645,176.44798122412908,71.53974839181181,227.06453206233095,69.40397093509308,63.53107434066044,232.0,680.0,324.5,4794.5,1940.5,754.0,,,,,,,
112_2020,2020-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-07-07,0.8791461281808589,3.9234018184665076,0.4388973016173471,0.26699779173645377,0.7378099571046919,0.6295531534147909,59.41558030117828,0.633456,0.44981050496423614,0.7148834859629964,-0.08248865041317871,0.4420727838824313,0.6857694123071434,0.35816763500000004,0.297174265,-0.06231940000000001,125.24357651691287,175.19002736156693,76.19926431405909,226.41140101943986,74.11841292041879,67.50579173675739,174.5,630.0,276.0,4291.5,1660.5,647.5,,,,,,,
112_2020,2020-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-07-27,0.8681723970944311,4.358912414095613,0.4468716777232785,0.26570629207577867,0.7308721895619472,0.6095664721485411,57.58812196138848,0.598752,0.47032771850802757,0.7042751262780536,-0.0758997005038845,0.4217755584902199,0.6517035415590711,0.347198275,0.283224865,-0.065620755,126.20446528120362,172.6718591219174,78.27488963312777,222.60838609809863,76.15391815079256,69.37933300225646,159.5,602.0,290.0,4110.0,1671.5,639.0,,,,,,,
112_2020,2020-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
