Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
FE-20,2023-10-07,0.3114505137021557,13.791028349037552,0.1512206033416782,0.1898893362426046,-0.0149760684301754,0.1720534411540455,16.815710436781668,0.089646,0.5660596387102625,0.4538366550169217,0.1377783213867062,-0.1658421077382626,0.1582148694633789,0.334637005,0.04519075,-0.22410948,151.30875034452103,151.9930133093698,137.67643257491815,154.15429559811764,136.78707032222263,133.3959343829092,478.5,740.5,1004.0,1912.0,2672.0,1970.0,,,,,,,
FE-20,2023-10-08,0.3006753274151286,14.218957932223404,0.1524862263478994,0.1909040830192779,-0.0232051076070315,0.1677052281976297,16.35808431348314,0.0826079999999999,0.5736568371909869,0.4519719080316757,0.1517355265718555,-0.1750939734659265,0.1542293843233205,0.3407843,0.043692665,-0.2304446,153.15754009479923,151.350747834772,138.09418710558828,151.48484345315137,136.8890772188609,134.32926409502005,494.5,743.0,1035.0,1925.0,2742.0,2016.5,,,,,,,
FE-20,2023-10-13,0.2846274135251044,16.03456400544188,0.1682512602192403,0.1837154513322043,0.0017958698788214,0.1634083505876422,15.848437698878108,0.077706,0.5572406789175021,0.4307157943655979,0.1589836509581703,-0.1665102876433885,0.1517421412018032,0.3524996650000001,0.04353843,-0.227029585,152.86558450329392,149.32821904975066,136.76880546667343,148.2743299994871,135.42290173987698,133.5145013718497,547.5,792.5,1109.0,1991.5,2787.0,1984.5,,,,,,,
FE-20,2023-10-15,0.2869100036878109,15.14290597152152,0.1584179593694656,0.1845879102162259,-0.0155093128685941,0.1607700455021936,15.666759890324029,0.0773279999999999,0.5596984903863934,0.4385952360630661,0.1532845029457462,-0.1735185571175909,0.1479130514599692,0.3419603,0.041332205,-0.225584685,151.62839051526345,150.19923307808665,138.2337453199334,150.70417905553717,137.35486273121955,135.13069689091472,511.5,769.0,1063.0,1918.5,2724.0,1979.0,,,,,,,
FE-20,2023-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-10-23,0.2556202454600067,18.72946023730337,0.1876778535475405,0.1894945206688164,0.0029193379460837,0.1579052586921991,15.124886208634736,0.0699899999999999,0.550785053812196,0.4206045946440085,0.1718110670556906,-0.1848638546131693,0.1482478832419392,0.400176215,0.04195865,-0.25467181,150.81909932267462,145.3975093896885,134.83596532038715,143.31092684893787,133.65737168147564,133.05242868052233,656.5,925.5,1303.0,2198.0,3194.5,2185.0,,,,,,,
FE-20,2023-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-10-31,0.2697568055925827,17.911747260560734,0.1845518255379074,0.1676127688982891,0.0371061517467758,0.1532193244481302,14.890842979490316,0.0677459999999999,0.5361104895461244,0.4021082927041292,0.1677970830447164,-0.1484721056388626,0.1391660737515842,0.33863222,0.042257105,-0.204434675,148.05248281875686,145.71201381800392,135.7984921711061,145.8237804461347,135.2934429433697,134.13829728812698,512.5,788.0,1112.5,1934.5,2609.5,1796.0,,,,,,,
FE-20,2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-11-07,0.2766925858138052,13.316071866671678,0.1331452550313259,0.1751832743564411,-0.0274308792287032,0.1746654136400142,16.67868608967379,0.0832499999999999,0.553601473148243,0.4181821209633654,0.1697227739768018,-0.1600098310291858,0.1636507870861741,0.413887785,0.047555775,-0.2694115849999999,152.5095767167561,146.77144707612555,134.01679815851617,144.5149877633848,132.4877801309272,131.27566720126526,646.0,920.5,1315.0,2320.5,3204.5,2451.0,,,,,,,
FE-20,2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-11-12,0.2276413168880586,18.927293802871283,0.1771570216699675,0.1700590746329825,-0.0120126488905765,0.133863363937737,12.92592295423066,0.045792,0.5420187097558699,0.3992485816931489,0.1939320085579209,-0.1887745243695052,0.1229767629187513,0.36805195,0.032354305,-0.23185984,151.26171921231762,144.71550438399646,138.74989606395732,141.9187281232588,138.0192476540161,139.37754418269242,604.5,862.0,1246.0,1980.0,2901.5,2028.5,,,,,,,
FE-21,2023-05-21,0.2943995208146152,10.456562976261797,0.1060857998004655,0.2046151515151514,-0.1086822025159826,0.1768197625614582,17.011605713769843,0.108792,0.5491383325570564,0.4769094138543517,0.0971772327626099,-0.2123200291598323,0.1792617988182945,0.41023053,0.03543988,-0.2977079,158.74984105755988,161.46094445101195,142.85735834278304,164.80400461383724,141.27728459976447,136.150986148745,736.0,968.0,1178.0,2161.0,3326.0,2688.0,,,,,,,
FE-21,2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-21,2023-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-21,2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
